Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000400882,ENSG00000256812,ENST00000457326,0.15,0.102,PredHel=0,0.694555,"cyto 22.5, cyto_nucl 14.5, mito 5",0.901,Q96L46
ENSP00000388852,ENSG00000232839,ENST00000457343,0.154,0.172,PredHel=0,0.838562,"extr 20, nucl 10, extr_plas 10",0.926,A2AAZ2
ENSP00000403572,ENSG00000219626,ENST00000457370,0.101,0.026,PredHel=0,0.997469,"extr 13, nucl 9.5, cyto_nucl 8.5, cyto 6.5, e",0.961,NA
ENSP00000405664,ENSG00000080298,ENST00000457373,0.115,0.06,PredHel=0,0.650211,"nucl 21.5, cyto_nucl 16, cyto 7.5",0.933,F6UGA0
ENSP00000400845,ENSG00000180329,ENST00000457422,0.109,0.12,PredHel=0,0.304287,"cyto 21.5, cyto_nucl 15, nucl 5.5, mito 4",0.942,Q96MW1
ENSP00000395137,ENSG00000142910,ENST00000457433,0.792,0.91,PredHel=0,0.333649,"extr 18, plas 4, lyso 3, mito 2, golg 2, cysk",0.907,Q9GZM7
ENSP00000410130,ENSG00000146276,ENST00000457434,0.837,0.926,PredHel=0,0.46908,"extr 23, cyto_nucl 5, nucl 4",0.92,F8WB88
ENSP00000405344,ENSG00000084754,ENST00000457468,0.424,0.747,PredHel=0,0.762812,"cyto 17.5, cyto_nucl 14.5, nucl 8.5, mito 5",0.903,NA
ENSP00000387805,ENSG00000152082,ENST00000457492,0.181,0.442,PredHel=0,0.773343,"extr 26, mito 5",0.9,H7BZ50
ENSP00000411261,ENSG00000121716,ENST00000457519,0.748,0.94,PredHel=0,0.690711,"extr 28, cyto_nucl 2",0.961,C9J8P3
ENSP00000390881,ENSG00000091073,ENST00000457529,0.179,0.472,PredHel=0,0.96672,"nucl 13, extr 12, cyto_nucl 12, cyto 7",0.924,C9JF39
ENSP00000399073,ENSG00000198792,ENST00000457534,0.112,0.153,PredHel=0,0.97296,"cyto 11, cyto_nucl 11, extr 10, nucl 9",0.98,F8WCD4
ENSP00000404450,ENSG00000231314,ENST00000457552,0.217,0.633,PredHel=1,0.321384,"extr 18, mito_pero 4.33333, pero 4, mito 2.5,",0.97,Q06643
ENSP00000413068,ENSG00000163295,ENST00000457560,0.845,0.934,PredHel=0,0.94992,"extr 19, cyto 6, cyto_nucl 5.5, mito 4",0.961,F8WEQ0
ENSP00000406529,ENSG00000170476,ENST00000457570,0.874,0.965,PredHel=0,0.951478,extr 31,0.947,NA
ENSP00000404965,ENSG00000164828,ENST00000457598,0.101,0.032,PredHel=0,0.763863,"nucl 17.5, cyto_nucl 12, extr 9, cyto 5.5",0.952,C9JJU6
ENSP00000404323,ENSG00000185480,ENST00000457614,0.13,0.137,PredHel=0,0.277552,"cyto 12, extr 10, nucl 7",0.947,H0Y6B3
ENSP00000409085,ENSG00000100336,ENST00000457630,0.143,0.163,PredHel=0,0.531413,"cyto 27, mito 3",0.937,F5H1P9
ENSP00000401806,ENSG00000197172,ENST00000457643,0.113,0.073,PredHel=0,0.621892,"cyto 10, mito 8, plas 5, cyto_golg 5, nucl 4,",0.907,E7ETG4
ENSP00000402249,ENSG00000134882,ENST00000457666,0.214,0.651,PredHel=1,0.979045,"plas 27, mito 4",0.932,Q5JUH4
ENSP00000389518,ENSG00000115207,ENST00000457748,0.104,0.096,PredHel=0,0.825248,"nucl 23, cyto 7",0.943,C9JNH7
ENSP00000389898,ENSG00000132692,ENST00000457777,0.879,0.961,PredHel=0,0.792204,extr 29,0.9,Q5T3I7
ENSP00000388794,ENSG00000204936,ENST00000457794,0.948,0.974,PredHel=0,0.220587,extr 31,0.912,NA
ENSP00000413269,ENSG00000235222,ENST00000457795,0.196,0.301,PredHel=0,0.945885,"cyto 13.5, mito 13, cyto_nucl 9.5, extr 3",0.909,A2ABF1
ENSP00000409260,ENSG00000184007,ENST00000457805,0.108,0.12,PredHel=0,0.868767,"cyto 16.5, cyto_nucl 10.5, mito 5, pero 4, nu",0.938,Q12974
ENSP00000402846,ENSG00000198839,ENST00000457808,0.098,0.047,PredHel=0,0.871808,"cyto 11.5, extr 11, cyto_nucl 10, nucl 7.5",0.919,F8WBE4
ENSP00000411448,ENSG00000143575,ENST00000457918,0.147,0.056,PredHel=0,0.457631,"nucl 17, cyto_nucl 16, cyto 9, extr 4",0.924,O00165
ENSP00000392015,ENSG00000118263,ENST00000457962,0.109,0.212,PredHel=0,0.665753,"extr 24, nucl 5",0.955,E7EUU0
ENSP00000406234,ENSG00000133657,ENST00000457986,0.119,0.316,PredHel=1,0.918828,"cyto 15.5, cyto_mito 9, plas 4.5, nucl 4, per",0.928,C9J7Z7
ENSP00000404471,ENSG00000065325,ENST00000458005,0.159,0.157,PredHel=0,0.958093,"mito 17, extr 6, cyto 5, cyto_nucl 5, nucl 3,",0.928,H0Y6C2
ENSP00000404964,ENSG00000160256,ENST00000458015,0.118,0.038,PredHel=0,0.830024,"nucl 20, cyto 7, mito 4",0.925,C9JJU7
ENSP00000399677,ENSG00000068001,ENST00000458018,0.631,0.904,PredHel=0,0.499419,"extr 19, mito 5, pero 4, golg 3, cyto_mito 3",0.949,C9K016
ENSP00000396079,ENSG00000198910,ENST00000458029,0.712,0.956,PredHel=0,0.323109,extr 31,0.933,E9PHJ4
ENSP00000388802,ENSG00000130429,ENST00000458033,0.13,0.041,PredHel=0,0.746329,"cyto 16.5, extr 12, cyto_nucl 10.5",0.923,C9JQM8
ENSP00000396318,ENSG00000125347,ENST00000458069,0.134,0.089,PredHel=0,0.877298,nucl 32,0.957,C9JD95
ENSP00000395307,ENSG00000204438,ENST00000458083,0.128,0.091,PredHel=0,0.614193,"nucl 20.5, cyto_nucl 14.5, cyto 7.5",0.916,A0A0A0MSL4
ENSP00000403294,ENSG00000026751,ENST00000458104,0.494,0.877,PredHel=0,0.855047,"extr 18, cyto_nucl 7.5, cyto 7, nucl 4",0.935,B4DVL7
ENSP00000396504,ENSG00000106484,ENST00000458161,0.661,0.916,PredHel=0,0.911294,"extr 18.5, extr_plas 12, mito 6, plas 4.5",0.918,C9JCM6
ENSP00000401309,ENSG00000101972,ENST00000458176,0.103,0.071,PredHel=0,0.553748,"cyto 22, extr 4, nucl 3",0.936,E7ERE6
ENSP00000396469,ENSG00000173744,ENST00000458212,0.128,0.04,PredHel=0,0.913441,"mito 17, nucl 9, cyto_nucl 7, extr 3, cyto 3",0.937,H7C0S7
ENSP00000403929,ENSG00000164904,ENST00000458249,0.191,0.061,PredHel=0,0.766617,"mito 23, cyto_nucl 3.66667, nucl 3, cyto_pero",0.932,F8WD33
ENSP00000393268,ENSG00000118263,ENST00000458272,0.112,0.121,PredHel=0,0.539137,"nucl 31.5, cyto_nucl 16.5",0.94,O75840
ENSP00000388348,ENSG00000124222,ENST00000458280,0.142,0.063,PredHel=0,0.278793,"cyto 24.5, cyto_nucl 15, nucl 4.5",0.923,B7ZBM5
ENSP00000457530,ENSG00000237524,ENST00000458326,0.69,0.918,PredHel=0,0.0419631,"extr 27, cyto 3",0.965,NA
ENSP00000410802,ENSG00000228875,ENST00000458330,0.16,0.121,PredHel=0,0.922208,"extr 10, cysk 9, cyto 8, nucl 5, extr_plas 5",0.9,P67870
ENSP00000395223,ENSG00000185404,ENST00000458341,0.102,0.154,PredHel=0,0.733583,"nucl 20, cyto 8, extr 3",0.929,Q9H930
ENSP00000402074,ENSG00000128699,ENST00000458355,0.136,0.482,PredHel=1,0.783143,"cyto 16, plas 5, mito 4, pero 4, E.R._mito 4",0.964,F6WST4
ENSP00000407102,ENSG00000101842,ENST00000458383,0.866,0.977,PredHel=0,0.816323,"extr 23, plas 5, pero 3",0.9,C9JY48
ENSP00000417015,ENSG00000106066,ENST00000458405,0.115,0.224,PredHel=0,0.820178,"cyto 14, cyto_nucl 12, nucl 8, extr 7",0.937,C9J6L4
ENSP00000401708,ENSG00000235017,ENST00000458410,0.906,0.981,PredHel=0,0.443032,extr 31,0.967,Q5ST52
ENSP00000390302,ENSG00000226560,ENST00000458436,0.906,0.981,PredHel=0,0.443032,extr 31,0.967,Q5ST52
ENSP00000391597,ENSG00000189058,ENST00000458447,0.893,0.962,PredHel=0,0.769862,"extr 28, E.R. 2, lyso 2",0.937,F8WBT9
ENSP00000396352,ENSG00000001631,ENST00000458493,0.104,0.052,PredHel=0,0.922944,"mito 21, cyto 5.5, cyto_nucl 5, extr 3",0.939,C9JD81
ENSP00000405928,ENSG00000204599,ENST00000458516,0.159,0.221,PredHel=0,0.878922,"nucl 30.5, cyto_nucl 17.5",0.974,A2AAZ5
ENSP00000406844,ENSG00000185049,ENST00000458616,0.146,0.413,PredHel=0,0.281582,"extr 13, mito 8, cyto 7, nucl 3",0.9,H7C2M8
ENSP00000401882,ENSG00000131142,ENST00000458625,0.828,0.98,PredHel=0,0.241801,"extr 28, plas 4",0.932,F8VWI0
ENSP00000395427,ENSG00000064655,ENST00000458636,0.112,0.034,PredHel=0,0.83585,"mito 18, cyto 8.5, cyto_nucl 6, nucl 2.5",0.979,B1AKW3
ENSP00000405615,ENSG00000217455,ENST00000458648,0.151,0.051,PredHel=0,0.441425,"extr 20, mito 11",0.909,NA
ENSP00000398550,ENSG00000164871,ENST00000458665,0.887,0.944,PredHel=0,0.339718,extr 31,0.943,Q08648
ENSP00000391502,ENSG00000066855,ENST00000458689,0.278,0.192,PredHel=0,0.863155,"mito 25, cyto 5",0.9,Q15390
ENSP00000400885,ENSG00000206562,ENST00000458728,0.127,0.352,PredHel=0,0.539793,"extr 22, lyso 4, mito 3",0.93,H7C1L4
ENSP00000393825,ENSG00000075223,ENST00000458729,0.633,0.885,PredHel=0,0.605694,extr 30,0.917,F8WEP9
ENSP00000412614,ENSG00000066248,ENST00000458735,0.106,0.096,PredHel=0,0.999489,"cyto_nucl 14.5, cysk 11, nucl 10.5, cyto 9.5",0.942,NA
ENSP00000421969,ENSG00000112695,ENST00000459637,0.362,0.1,PredHel=0,0.365853,"extr 27, cyto_mito 4",0.903,H0Y8S6
ENSP00000417154,ENSG00000112146,ENST00000459845,0.207,0.08,PredHel=0,0.899938,"extr 12, nucl 10, cyto_nucl 9.5, cyto 7",0.972,C9J4V1
ENSP00000417708,ENSG00000128596,ENST00000459946,0.113,0.18,PredHel=0,0.574031,"extr 16, cyto 12, cyto_nucl 9",0.9,C9J884
ENSP00000435727,ENSG00000172530,ENST00000459966,0.101,0.111,PredHel=0,0.462306,"extr 26, nucl 5",0.917,E9PIP2
ENSP00000474445,ENSG00000148335,ENST00000459968,0.101,0.106,PredHel=0,0.978256,"nucl 16, cyto_nucl 16, cyto 12",0.911,S4R3J7
ENSP00000465687,ENSG00000116649,ENST00000459997,0.14,0.209,PredHel=0,0.657748,"extr 12, cyto_nucl 12, nucl 9.5, cyto 9.5",0.939,K7EKM4
ENSP00000420409,ENSG00000114491,ENST00000460034,0.188,0.209,PredHel=0,0.98027,"extr 21, cyto_nucl 6, mito 3",0.904,F2Z303
ENSP00000435947,ENSG00000179902,ENST00000460065,0.099,0.046,PredHel=0,0.734788,"cyto_nucl 16, nucl 14, cyto 12, extr 5",0.909,E9PRR4
ENSP00000418953,ENSG00000090266,ENST00000460088,0.328,0.401,PredHel=0,0.169514,"extr 16, cyto_nucl 10, nucl 8, extr_plas 8",0.923,C9IZZ2
ENSP00000465008,ENSG00000171824,ENST00000460196,0.117,0.068,PredHel=0,0.91875,"nucl 11, cyto_nucl 10.3333, cyto 7.5, extr 7,",0.929,K7EJ37
ENSP00000436490,ENSG00000156239,ENST00000460212,0.113,0.208,PredHel=0,0.939648,"cyto 23.5, cyto_nucl 16.5, nucl 6.5",0.905,B2RA97
ENSP00000433943,ENSG00000234343,ENST00000460245,0.323,0.304,PredHel=1,0.71932,"extr 28, plas 2",0.949,E9PIF4
ENSP00000420437,ENSG00000095794,ENST00000460270,0.15,0.165,PredHel=0,0.967414,"nucl 30, cyto_nucl 16.5",0.904,E9PAR2
ENSP00000420144,ENSG00000137171,ENST00000460283,0.101,0.043,PredHel=0,0.554958,"nucl 16, cyto_nucl 15.5, cyto 9, extr 6",0.909,C9JQU1
ENSP00000417896,ENSG00000114698,ENST00000460350,0.106,0.079,PredHel=0,0.700232,"extr 27, cyto 4",0.951,C9J6E1
ENSP00000417450,ENSG00000106479,ENST00000460379,0.104,0.199,PredHel=0,0.673271,"cyto 16, cyto_nucl 14, nucl 10, extr 5",0.903,C9JB70
ENSP00000417422,ENSG00000140718,ENST00000460382,0.109,0.2,PredHel=0,0.983921,"cyto 26.5, cyto_nucl 14.5, mito 3",0.937,Q9C0B1
ENSP00000420603,ENSG00000174500,ENST00000460387,0.103,0.021,PredHel=0,0.830754,"nucl 21, extr 5, cyto 3, mito 3, cyto_mito 3",0.902,Q8N6F7
ENSP00000417357,ENSG00000135250,ENST00000460391,0.104,0.036,PredHel=0,0.790357,"cyto 20, cyto_nucl 13.5, extr 5, nucl 5",0.915,C9J2M4
ENSP00000456424,ENSG00000254778,ENST00000460446,0.145,0.118,PredHel=0,0.943794,"nucl 13.5, extr 12, cyto_nucl 10, cyto 5.5",0.953,A0A0G2JLK9
ENSP00000418886,ENSG00000197993,ENST00000460479,0.106,0.297,PredHel=1,0.593833,plas 29,0.975,H0Y8A1
ENSP00000417116,ENSG00000179528,ENST00000460508,0.109,0.031,PredHel=0,0.735643,"nucl 12.5, cyto_nucl 12.5, cyto 11.5, mito 5",0.915,Q6XYB7
ENSP00000432265,ENSG00000093144,ENST00000460558,0.278,0.763,PredHel=1,0.969255,"cyto 17, mito 5.5, extr 4, golg 4, E.R._mito ",0.963,H0YCS9
ENSP00000420680,ENSG00000152601,ENST00000460591,0.208,0.288,PredHel=0,0.942326,"extr 12, cyto 10, mito 8",0.908,C9JCX1
ENSP00000445253,ENSG00000149485,ENST00000460649,0.214,0.984,PredHel=1,0.996046,"extr 21.5, extr_plas 11.5, mito 4, pero 3",0.943,F5H3P6
ENSP00000435118,ENSG00000124222,ENST00000460655,0.134,0.134,PredHel=0,0.776838,"cyto 18.5, cyto_nucl 13.5, nucl 7.5, extr 3, ",0.901,E9PLV7
ENSP00000417793,ENSG00000243649,ENST00000460718,0.416,0.978,PredHel=0,0.493757,extr 32,0.935,F8WBL9
ENSP00000421264,ENSG00000137434,ENST00000460742,0.1,0.052,PredHel=0,0.437681,"extr 15, cyto 12, cyto_nucl 9.5, nucl 5",0.921,D6RGE8
ENSP00000420310,ENSG00000065371,ENST00000460743,0.116,0.093,PredHel=0,0.86796,"cyto 20, cyto_nucl 13.5, nucl 5, extr 3, mito",0.926,C9JP07
ENSP00000431705,ENSG00000118515,ENST00000460769,0.11,0.076,PredHel=0,0.812992,"extr 17, cyto_nucl 9.5, nucl 9, cyto 6",0.908,H0YCJ3
ENSP00000433021,ENSG00000183214,ENST00000460798,0.81,0.908,PredHel=0,0.250357,"extr 27, mito 3",0.944,NA
ENSP00000420804,ENSG00000120265,ENST00000460828,0.116,0.313,PredHel=0,0.613595,"cyto 8, extr_plas 6, plas 5.5, extr 5.5, mito",0.951,F8WDT3
ENSP00000420385,ENSG00000114698,ENST00000460885,0.106,0.079,PredHel=0,0.985793,"extr 24, cyto 8",0.967,C9JNW2
ENSP00000417435,ENSG00000154928,ENST00000460895,0.132,0.127,PredHel=0,0.712101,"extr 17, cyto_nucl 7.5, cyto 7, nucl 6",0.927,C9JB88
ENSP00000417877,ENSG00000168306,ENST00000460921,0.104,0.078,PredHel=0,0.492572,"cyto 22.5, cyto_nucl 14.5, extr 6",0.938,H7C4Q2
ENSP00000433359,ENSG00000108641,ENST00000461069,0.459,0.676,PredHel=0,0.394628,"extr 20, nucl 5.5, mito 5, cyto_nucl 3.5",0.957,A0A0B4J223
ENSP00000467603,ENSG00000066651,ENST00000461129,0.205,0.608,PredHel=0,0.6818,"extr 11, cyto 8, cyto_nucl 7.5, mito 6, nucl ",0.926,K7EPZ4
ENSP00000418480,ENSG00000188056,ENST00000461240,0.166,0.19,PredHel=0,0.606687,"extr 13, cyto 11, cyto_nucl 8.5, cyto_pero 7.",0.939,H7C4X5
ENSP00000419617,ENSG00000121380,ENST00000461264,0.098,0.157,PredHel=0,0.600138,"cyto 13, cyto_nucl 13, nucl 11, extr 6",0.947,C9K0Q9
ENSP00000476934,ENSG00000116922,ENST00000461359,0.11,0.084,PredHel=0,0.534347,"cyto 14, cyto_nucl 13.5, nucl 11, mito 4",0.9,V9GYN4
ENSP00000435191,ENSG00000138303,ENST00000461369,0.102,0.059,PredHel=0,0.517404,"extr 14, cyto 13, pero 4",0.935,H0YE79
ENSP00000418386,ENSG00000112655,ENST00000461389,0.48,0.715,PredHel=0,0.941719,"extr 26, cyto_nucl 3",0.948,F8WCI7
ENSP00000433020,ENSG00000160055,ENST00000461402,0.745,0.958,PredHel=3,0.406179,"plas 17, extr 12",0.938,Q8WY98
ENSP00000420399,ENSG00000051382,ENST00000461451,0.301,0.904,PredHel=0,0.54,"extr 14, cyto 11.5, cyto_nucl 9, nucl 3.5",0.935,C9JNF6
ENSP00000474091,ENSG00000076685,ENST00000461461,0.108,0.025,PredHel=0,0.841339,"cyto 15, extr 9, nucl 8",0.916,S4R3A6
ENSP00000462105,ENSG00000067606,ENST00000461465,0.101,0.057,PredHel=0,0.367302,"cyto 19.5, cyto_nucl 13.5, extr 5, nucl 4.5",0.925,J3KRP7
ENSP00000435127,ENSG00000214046,ENST00000461488,0.497,0.794,PredHel=0,0.0946268,"extr 12, cyto 12, nucl 3, mito 3, mito_nucl 3",0.938,E9PLH2
ENSP00000418247,ENSG00000172236,ENST00000461509,0.895,0.962,PredHel=0,0.208926,"extr 24, pero 3, mito 2, lyso 2",0.908,J3QTS8
ENSP00000436637,ENSG00000223532,ENST00000461583,0.837,0.94,PredHel=0,0.9172,"extr 28, E.R. 3",0.918,NA
ENSP00000420151,ENSG00000077080,ENST00000461605,0.114,0.071,PredHel=0,0.960411,"cyto 26.5, cyto_nucl 14.5, extr 3",0.912,C9JQT4
ENSP00000417714,ENSG00000065518,ENST00000461682,0.105,0.067,PredHel=0,0.758595,"cyto_nucl 13, cyto 12, nucl 10, extr 7",0.924,F2Z3P9
ENSP00000420244,ENSG00000070087,ENST00000461868,0.147,0.181,PredHel=0,0.256024,"extr 22, cyto 7.5, cyto_nucl 5",0.934,C9JQ45
ENSP00000418113,ENSG00000163687,ENST00000461914,0.912,0.946,PredHel=0,0.540428,"extr 20, plas 4, mito 3, E.R. 3, E.R._mito 3",0.958,C9J9N0
ENSP00000476453,ENSG00000148719,ENST00000461919,0.125,0.215,PredHel=0,0.862051,"mito 17, plas 5, nucl 3, cyto 2, pero 2, lyso",0.911,V9GY70
ENSP00000417547,ENSG00000144744,ENST00000461934,0.104,0.043,PredHel=0,0.547999,"extr 22, cyto 8, cyto_nucl 6",0.94,F8WAT6
ENSP00000436842,ENSG00000206435,ENST00000461937,0.818,0.871,PredHel=0,0.981913,"extr 22, E.R. 3, golg 3, E.R._golg 3",0.919,NA
ENSP00000477233,ENSG00000178252,ENST00000462064,0.156,0.416,PredHel=0,0.999682,"extr 27, nucl 2, cyto 2, cyto_nucl 2",0.966,NA
ENSP00000464273,ENSG00000131591,ENST00000462097,0.821,0.952,PredHel=0,0.396048,extr 32,0.965,J3QRL0
ENSP00000419299,ENSG00000163870,ENST00000462228,0.118,0.09,PredHel=0,0.85416,"extr 21, cyto 9",0.91,C9JVW5
ENSP00000476693,ENSG00000125459,ENST00000462250,0.135,0.127,PredHel=0,0.928761,"extr 15, nucl 10.5, cyto_nucl 8.5, cyto 5.5",0.937,V9GYF2
ENSP00000418100,ENSG00000128573,ENST00000462331,0.102,0.035,PredHel=0,0.661909,"nucl 18, cyto_nucl 13.5, extr 9, cyto 5",0.924,Q75MZ5
ENSP00000417117,ENSG00000153002,ENST00000462345,0.806,0.887,PredHel=0,0.286118,extr 30,0.937,C9J5C4
ENSP00000417819,ENSG00000114107,ENST00000462419,0.171,0.115,PredHel=0,0.814402,"cyto 13, nucl 7, cyto_plas 7, extr 4, mito 4",0.901,C9J710
ENSP00000428082,ENSG00000138036,ENST00000462426,0.203,0.108,PredHel=0,0.776957,"mito 18.5, mito_nucl 12.3333, cyto_nucl 5.333",0.909,E5RK97
ENSP00000435031,ENSG00000223618,ENST00000462479,0.133,0.169,PredHel=0,0.682382,"cyto_nucl 14.5, cyto 12.5, nucl 11.5, cysk 5",0.901,NA
ENSP00000443543,ENSG00000165480,ENST00000462482,0.155,0.073,PredHel=0,0.878595,"extr 17, cyto 6.5, cyto_nucl 5, mito 4, nucl ",0.911,F5H8H7
ENSP00000419755,ENSG00000204681,ENST00000462632,0.822,0.873,PredHel=0,0.628211,extr 31,0.95,C9JZG6
ENSP00000435896,ENSG00000162735,ENST00000462644,0.106,0.046,PredHel=0,0.736245,"cyto 20, nucl 7, extr 5",0.931,E9PS71
ENSP00000418103,ENSG00000188313,ENST00000462666,0.105,0.081,PredHel=0,0.872774,"cyto 14.5, extr 11, cyto_nucl 9.5, nucl 3.5",0.9,C9J9P4
ENSP00000432397,ENSG00000198860,ENST00000462677,0.105,0.155,PredHel=0,0.384428,"extr 16, cyto 10, cyto_nucl 9.5, nucl 5",0.956,H0YCV5
ENSP00000417136,ENSG00000241566,ENST00000462693,0.914,0.943,PredHel=0,0.894237,extr 29,0.957,A0A075B6R9
ENSP00000476226,ENSG00000119862,ENST00000462737,0.139,0.033,PredHel=0,0.902644,"extr 26, nucl 6",0.95,U3KQU5
ENSP00000469917,ENSG00000003402,ENST00000462763,0.104,0.089,PredHel=0,0.557228,"cyto 13, extr 10, nucl 3, mito 2, cysk 2",0.911,M0QYM0
ENSP00000418467,ENSG00000121749,ENST00000462788,0.098,0.068,PredHel=0,0.805088,"cyto 16.5, cyto_nucl 14.5, nucl 9.5, extr 3",0.931,F8WCB5
ENSP00000417595,ENSG00000196549,ENST00000462837,0.125,0.324,PredHel=1,0.961265,"plas 23, cyto 4.5, cyto_mito 3, extr 1, nucl ",0.929,C9J9X7
ENSP00000457756,ENSG00000234769,ENST00000462860,0.141,0.024,PredHel=0,0.725732,"extr 18, mito 9, extr_plas 9",0.931,NA
ENSP00000419940,ENSG00000114455,ENST00000463019,0.8,0.973,PredHel=1,0.955937,extr 31,0.947,C9JY13
ENSP00000417885,ENSG00000214113,ENST00000463032,0.099,0.042,PredHel=0,0.736885,"mito 17, nucl 7.5, cyto_nucl 6, cyto 3.5, ext",0.903,H7C4Q5
ENSP00000436448,ENSG00000214046,ENST00000463051,0.459,0.785,PredHel=0,0.647136,"cyto 17, mito 11, extr 4",0.926,E9PP42
ENSP00000431193,ENSG00000225211,ENST00000463064,0.939,0.981,PredHel=0,0.479414,extr 30,0.964,A0A0G2JKT7
ENSP00000468672,ENSG00000128422,ENST00000463128,0.102,0.056,PredHel=0,0.552484,"cyto 16, extr 7, nucl 6",0.932,K7ESE1
ENSP00000417346,ENSG00000133606,ENST00000463142,0.118,0.041,PredHel=0,0.791875,"mito 15, cyto_nucl 6.83333, extr 6, nucl 5.5,",0.95,H7C4H5
ENSP00000477107,ENSG00000088881,ENST00000463145,0.11,0.088,PredHel=0,0.982311,"cyto_nucl 14.5, nucl 11.5, cyto 10.5, extr 9",0.932,V9GYU8
ENSP00000420149,ENSG00000065150,ENST00000463157,0.117,0.175,PredHel=0,0.957504,"cyto 11.5, cyto_nucl 11.5, nucl 8.5, extr 7, ",0.926,C9JQT6
ENSP00000468799,ENSG00000166263,ENST00000463234,0.101,0.062,PredHel=0,0.60713,"extr 13, cyto_nucl 8.5, nucl 7.5, cyto 6.5, e",0.936,K7ESN8
ENSP00000473492,ENSG00000106484,ENST00000463263,0.098,0.054,PredHel=0,0.997263,"cyto 16.5, cyto_nucl 16, nucl 8.5, extr 3",0.918,R4GN52
ENSP00000430808,ENSG00000197275,ENST00000463267,0.103,0.024,PredHel=0,0.87601,"nucl 17, cyto_nucl 12.5, extr 6, mito 5",0.906,E5RI14
ENSP00000418336,ENSG00000095794,ENST00000463314,0.105,0.107,PredHel=0,0.96351,nucl 32,0.961,Q03060
ENSP00000434526,ENSG00000169224,ENST00000463359,0.101,0.049,PredHel=0,0.435973,"nucl 17, extr 12",0.912,E9PLW0
ENSP00000466076,ENSG00000178184,ENST00000463384,0.109,0.074,PredHel=0,0.980788,"cyto 13, cyto_nucl 11.5, cysk 8, extr 6, nucl",0.93,K7ELH1
ENSP00000420060,ENSG00000158525,ENST00000463587,0.364,0.601,PredHel=0,0.70028,"extr 19, mito 5, E.R. 4, lyso 2, E.R._golg 2",0.921,C9JRV5
ENSP00000464086,ENSG00000059769,ENST00000463589,0.793,0.852,PredHel=0,0.986686,"extr 19, mito 6, nucl 2, cyto 2, cyto_nucl 2",0.948,J3QR79
ENSP00000451298,ENSG00000092108,ENST00000463622,0.141,0.046,PredHel=0,0.805173,"cyto 11.5, extr 9, cyto_nucl 8.5, mito 7, nuc",0.901,G3V3K9
ENSP00000417688,ENSG00000114786,ENST00000463721,0.367,0.401,PredHel=0,0.0503789,"extr 25, mito 3, plas 2, mito_pero 2",0.96,F2Z3Q0
ENSP00000465025,ENSG00000141499,ENST00000463804,0.12,0.046,PredHel=0,0.249578,extr 31,0.932,K7EJ50
ENSP00000465234,ENSG00000161570,ENST00000463941,0.891,0.888,PredHel=0,0.00988398,"extr 22, plas 9",0.973,NA
ENSP00000420137,ENSG00000105856,ENST00000464009,0.144,0.215,PredHel=0,0.926418,"cyto 14, nucl 8, mito 6, extr 3, E.R._mito 3,",0.935,C9JQU7
ENSP00000436889,ENSG00000227129,ENST00000464056,0.323,0.304,PredHel=1,0.71932,"extr 28, plas 2",0.949,E9PIF4
ENSP00000419529,ENSG00000168309,ENST00000464064,0.105,0.067,PredHel=0,0.926624,"nucl 16, cyto_nucl 14, cyto 10, extr 5",0.943,O95990
ENSP00000450447,ENSG00000203791,ENST00000464099,0.101,0.048,PredHel=0,0.967094,"cyto 23, nucl 5, mito 2, cysk 2",0.958,G3V238
ENSP00000420361,ENSG00000239855,ENST00000464162,0.849,0.916,PredHel=0,0.970363,extr 31,0.904,A0A0C4DH72
ENSP00000418785,ENSG00000176597,ENST00000464191,0.202,0.897,PredHel=1,0.535418,"extr 26, mito 3",0.911,C9IYY0
ENSP00000437030,ENSG00000149292,ENST00000464224,0.1,0.069,PredHel=0,0.743846,"cyto 23, cyto_nucl 16, nucl 7",0.908,E9PP06
ENSP00000420507,ENSG00000180353,ENST00000464274,0.121,0.144,PredHel=0,0.291649,"cyto_nucl 17.5, cyto 14, nucl 13, extr 4",0.948,F8WDD5
ENSP00000419251,ENSG00000205221,ENST00000464309,0.111,0.047,PredHel=0,0.654155,"cyto_nucl 17, nucl 12.5, cyto 12.5, extr 5",0.915,H7C587
ENSP00000465133,ENSG00000142599,ENST00000464367,0.102,0.045,PredHel=0,0.888761,"cyto 13, cyto_nucl 12, extr 9, nucl 9",0.9,A0A075B770
ENSP00000419847,ENSG00000136286,ENST00000464434,0.106,0.096,PredHel=0,0.808364,"cysk 14, cyto 11.5, cyto_nucl 8.5, extr 3",0.945,F8WEW9
ENSP00000417574,ENSG00000156313,ENST00000464437,0.155,0.037,PredHel=0,0.402678,"plas 25, extr 2, cyto_mito 2, cyto 1.5, mito ",0.914,H7C4L1
ENSP00000418450,ENSG00000095794,ENST00000464475,0.114,0.072,PredHel=0,0.99386,"cyto_nucl 12.5, nucl 10.5, extr 10, cyto 9.5",0.903,H7C4X0
ENSP00000476911,ENSG00000158874,ENST00000464492,0.223,0.222,PredHel=0,0.869273,"cyto 9.5, cyto_nucl 9, mito 6, nucl 5.5, plas",0.915,V9GYM3
